Rank,City,Country,Government_Digitization,Connectivity,Digital_Banking,Digitized_mobility,Digitized_social_habits,Education,Privacy_and_security,Internationalism,Gender_Equality,LGBT_Equality,Environmental_Action,MentalHealth_Access,Healthcare,Safety,Protest_Rights,Esports,Concerts,Entreprenerial_Spirit,Co-working_spaces,Affordability,Social_Entrepreneurship,AI_Industry,Total
1,London,UK,97.69,78.95,64.84,70.82,46.14,97.14,69.96,64.68,75.34,89.48,95.28,89.10,91.85,76.26,97.08,60.43,100.00,76.05,100.00,64.60,100.00,91.23,100.00
2,Stockholm,Sweden,95.89,97.29,100.00,58.48,46.61,65.03,65.87,51.38,94.74,94.69,100.00,70.50,97.87,82.33,100.00,44.07,72.52,71.96,50.59,67.93,60.77,58.43,89.88
3,Los Angeles,USA,94.13,91.05,63.06,43.38,49.58,96.87,60.10,66.49,61.85,81.89,74.47,69.50,89.82,70.91,85.66,89.39,95.36,71.76,53.16,66.52,74.33,60.45,89.40
4,Toronto,Canada,86.06,90.78,76.87,57.56,46.51,79.52,69.93,73.92,74.13,70.83,86.66,79.05,95.05,91.38,98.05,23.00,79.74,54.54,37.79,61.65,91.48,70.37,86.20
5,New York,USA,94.13,86.54,63.06,56.75,49.58,84.10,60.10,65.08,67.10,88.61,83.24,73.70,89.26,64.82,85.66,31.98,96.97,72.21,98.12,48.46,91.19,88.08,86.03
6,Berlin,Germany,94.07,81.23,55.77,67.01,34.53,63.32,81.72,37.61,76.15,90.35,85.61,91.20,91.68,67.73,98.05,30.31,90.53,67.41,54.77,75.41,67.46,70.83,84.53
7,Munich,Germany,94.07,77.18,55.77,62.24,34.53,80.89,81.72,54.95,76.15,88.61,87.18,91.17,91.91,85.23,98.05,7.24,82.89,64.09,38.51,71.19,51.68,46.83,83.11
8,San Francisco,USA,94.13,86.47,63.06,60.09,49.58,52.01,60.10,63.55,61.85,85.14,83.24,69.50,89.97,71.77,85.66,19.72,89.87,100.00,65.32,58.21,87.44,100.00,83.09
9,Amsterdam,Netherlands,93.94,92.21,63.22,75.21,48.37,34.70,83.98,57.22,58.41,95.99,83.12,81.48,99.02,81.05,98.05,23.58,80.30,81.23,80.17,65.82,56.12,54.90,83.02
10,Vancouver,Canada,86.06,89.53,76.87,67.03,46.51,69.32,69.93,70.19,74.13,69.20,88.60,79.10,95.03,72.59,98.05,18.83,73.21,56.77,33.74,70.42,81.84,51.85,82.48
11,Paris,France,94.46,86.79,46.44,100.00,39.90,75.79,85.16,51.85,77.36,76.25,92.19,83.40,91.31,55.36,87.83,38.73,92.65,56.12,39.78,61.48,66.30,73.66,82.13
12,Manchester,UK,97.69,76.90,64.84,49.84,46.14,63.74,69.96,56.52,75.34,88.51,90.62,89.12,89.20,51.53,97.08,4.57,85.20,72.43,19.29,75.77,49.80,34.14,81.18
13,Copenhagen,Denmark,100.00,95.00,64.00,61.50,53.66,54.76,83.76,37.32,70.94,95.77,94.03,84.50,92.07,76.88,100.00,29.76,76.14,61.10,28.58,60.14,56.28,48.43,80.70
14,Helsinki,Finland,94.85,88.63,63.44,52.97,43.84,53.75,83.98,37.89,94.34,98.48,94.15,70.10,98.79,73.74,98.05,24.19,70.60,65.50,17.41,69.93,55.75,56.10,80.33
15,Montreal,Canada,86.06,90.99,76.87,54.11,46.51,72.02,69.93,51.71,74.13,69.75,84.73,79.05,94.76,77.13,98.05,9.52,77.33,51.60,28.89,75.49,74.42,55.78,80.00
16,Gothenburg,Sweden,95.89,92.45,100.00,33.07,46.61,56.09,65.87,52.67,94.74,88.61,98.85,70.47,97.93,64.00,100.00,3.70,61.37,66.28,15.29,73.52,42.87,37.57,79.46
17,Frankfurt,Germany,94.07,72.98,55.77,64.62,34.53,56.15,81.72,64.35,76.15,86.66,84.80,91.17,91.77,79.23,98.05,9.37,75.69,67.78,61.46,72.36,30.77,30.96,79.35
18,Malmo,Sweden,95.89,93.49,100.00,27.73,46.61,32.30,65.87,60.41,94.74,82.65,93.94,70.47,97.96,57.99,100.00,49.64,53.79,70.04,49.87,72.98,36.34,30.32,78.96
19,Brussels,Belgium,83.19,88.77,52.22,59.31,46.29,68.28,71.66,72.23,54.77,92.08,83.87,64.11,93.51,67.61,98.05,5.48,71.61,46.71,41.65,69.93,58.99,27.26,77.72
20,Seattle,USA,94.13,80.67,63.06,37.38,49.58,73.07,60.10,43.71,60.94,77.55,89.48,56.29,91.77,55.37,85.66,59.33,84.14,68.18,28.13,60.53,72.88,62.52,77.71
21,Boston,USA,94.13,82.41,63.06,51.67,49.58,100.00,60.10,54.74,71.19,57.93,87.41,89.12,92.75,62.81,85.66,17.36,83.91,70.89,31.91,60.48,73.20,67.36,77.45
22,Edinburgh,UK,97.69,79.37,64.84,44.34,46.14,74.21,69.96,48.07,75.34,70.78,96.34,75.22,89.29,69.57,97.08,5.80,70.16,66.11,42.50,74.48,56.33,32.83,77.44
23,Melbourne,Australia,98.52,84.49,58.25,36.41,54.62,71.37,53.93,67.96,57.55,65.08,84.30,78.40,98.80,83.82,95.99,5.29,75.54,46.37,56.40,70.66,60.30,38.82,77.42
24,Sydney,Australia,98.52,88.48,58.25,43.62,54.62,64.35,47.48,70.39,57.55,65.84,89.01,78.36,98.75,78.63,95.99,9.79,71.80,47.75,45.35,65.95,65.51,50.18,77.40
25,Hamburg,Germany,94.07,82.56,55.77,62.55,34.53,38.40,81.72,51.35,76.15,81.24,87.93,91.20,91.89,61.87,98.05,11.58,86.75,62.77,30.27,72.15,40.40,41.46,77.31
26,Cologne,Germany,94.07,79.80,55.77,57.69,34.53,8.30,81.72,52.20,76.15,78.67,85.81,91.17,91.81,65.65,98.05,48.01,84.23,60.59,28.60,75.31,36.40,24.77,76.38
27,Chicago,USA,94.13,87.22,63.06,34.18,49.58,74.53,60.10,47.52,58.00,79.61,81.34,65.30,86.81,69.50,85.66,15.84,87.75,65.38,38.23,66.39,74.43,57.27,76.37
28,Rotterdam,Netherlands,93.94,94.64,63.22,46.27,48.37,73.25,83.98,47.66,58.41,87.44,83.50,81.48,99.27,71.59,98.05,6.14,64.99,78.68,45.86,72.65,36.17,23.84,76.20
29,Madrid,Spain,88.56,86.43,48.49,56.19,39.77,40.72,89.76,47.74,64.02,100.00,91.18,71.90,91.74,76.48,85.66,5.59,72.12,45.56,54.61,80.48,51.87,54.19,76.15
